Date,Kick Off (local),Home Team,Away Team,Venue,Home Score,Away Score,Play Off Game?,Home Goals,Home Behinds,Away Goals,Away Behinds,Home Odds,Away Odds,Bookmakers Surveyed
29-Jul-17,13:45,North Melbourne,Melbourne,Blundstone Arena,76,72,,11,10,10,12, 3.07 , 1.37 ,15
28-Jul-17,19:50,Hawthorn,Sydney,MCG,72,66,,10,12,9,12, 2.73 , 1.45 ,15
23-Jul-17,16:40,Brisbane,Carlton,Gabba,112,82,,17,10,11,16, 1.97 , 1.81 ,15
23-Jul-17,15:20,Collingwood,West Coast,Etihad Stadium,93,85,,13,15,13,7, 1.87 , 1.92 ,15
23-Jul-17,13:10,Richmond,GWS Giants,MCG,64,45,,9,10,6,9, 2.24 , 1.64 ,15
22-Jul-17,17:40,Fremantle,Hawthorn,Domain Stadium,48,100,,7,6,15,10, 2.09 , 1.73 ,15
22-Jul-17,19:25,Sydney,St Kilda,SCG,101,59,,14,17,9,5, 1.21 , 4.36 ,15
22-Jul-17,16:05,Western Bulldogs,Gold Coast,Cazaly’s Stadium,110,56,,16,14,8,8, 1.27 , 3.68 ,15
22-Jul-17,14:10,Melbourne,Port Adelaide,MCG,88,65,,13,10,9,11, 2.22 , 1.65 ,14
22-Jul-17,13:45,Essendon,North Melbourne,Etihad Stadium,132,105,,20,12,16,9, 1.19 , 4.78 ,15
21-Jul-17,19:50,Adelaide,Geelong,Adelaide Oval,91,70,,13,13,10,10, 1.52 , 2.53 ,15
16-Jul-17,14:40,Fremantle,West Coast,Domain Stadium,44,74,,5,14,11,8, 3.21 , 1.35 ,15
16-Jul-17,15:20,Carlton,Western Bulldogs,MCG,62,82,,9,8,12,10, 2.38 , 1.57 ,15
16-Jul-17,13:10,Richmond,Brisbane,Etihad Stadium,112,81,,16,16,12,9, 1.14 , 5.46 ,15
15-Jul-17,19:10,Melbourne,Adelaide,TIO Stadium,70,116,,10,10,17,14, 3.29 , 1.33 ,15
15-Jul-17,19:25,GWS Giants,Sydney,Spotless Stadium,83,96,,12,11,14,12, 2.09 , 1.73 ,15
15-Jul-17,16:35,Gold Coast,Collingwood,Metricon Stadium,88,103,,13,10,15,13, 1.79 , 2.00 ,15
15-Jul-17,14:10,Port Adelaide,North Melbourne,Adelaide Oval,127,57,,19,13,8,9, 1.12 , 6.19 ,15
15-Jul-17,13:45,Geelong,Hawthorn,MCG,88,85,,13,10,12,13, 1.36 , 3.13 ,15
14-Jul-17,19:50,St Kilda,Essendon,Etihad Stadium,57,118,,7,15,17,16, 1.78 , 2.02 ,15
09-Jul-17,14:40,West Coast,Port Adelaide,Domain Stadium,88,120,,13,10,18,12, 1.79 , 2.02 ,15
09-Jul-17,15:20,Carlton,Melbourne,MCG,82,90,,12,10,14,6, 2.57 , 1.50 ,15
09-Jul-17,13:10,North Melbourne,Fremantle,Etihad Stadium,82,86,,12,10,13,8, 1.41 , 2.90 ,15
08-Jul-17,19:25,Brisbane,Geelong,Gabba,78,163,,11,12,25,13, 4.11 , 1.23 ,15
08-Jul-17,19:25,St Kilda,Richmond,Etihad Stadium,138,71,,17,16,7,9, 2.28 , 1.62 ,15
08-Jul-17,16:35,Sydney,Gold Coast,SCG,118,51,,17,16,7,9, 1.13 , 5.81 ,15
08-Jul-17,14:10,Collingwood,Essendon,MCG,80,117,,12,8,18,9, 1.81 , 1.97 ,15
08-Jul-17,13:45,Hawthorn,GWS Giants,University of Tasmania Stadium,97,97,,14,13,15,7, 2.57 , 1.50 ,15
07-Jul-17,19:50,Adelaide,Western Bulldogs,Adelaide Oval,104,45,,16,8,5,15, 1.31 , 3.41 ,15
02-Jul-17,14:40,Fremantle,St Kilda,Domain Stadium,80,89,,12,8,12,17, 2.42 , 1.56 ,15
02-Jul-17,15:20,Hawthorn,Collingwood,MCG,118,94,,18,10,14,10, 2.25 , 1.63 ,15
02-Jul-17,13:10,Essendon,Brisbane,Etihad Stadium,82,90,,11,16,13,12, 1.08 , 7.35 ,15
01-Jul-17,19:10,Port Adelaide,Richmond,Adelaide Oval,63,76,,8,15,11,10, 1.30 , 3.54 ,15
01-Jul-17,19:25,GWS Giants,Geelong,Spotless Stadium,68,68,,10,8,10,8, 1.30 , 3.48 ,15
01-Jul-17,16:35,Gold Coast,North Melbourne,Metricon Stadium,118,99,,18,10,14,15, 1.54 , 2.48 ,15
01-Jul-17,14:10,Carlton,Adelaide,MCG,77,89,,12,5,13,11, 3.74 , 1.27 ,15
01-Jul-17,13:45,Western Bulldogs,West Coast,Etihad Stadium,80,87,,11,14,12,15, 1.31 , 3.39 ,15
30-Jun-17,19:50,Melbourne,Sydney,MCG,50,85,,7,8,11,19, 2.05 , 1.76 ,15
25-Jun-17,16:50,St Kilda,Gold Coast,Etihad Stadium,103,72,,14,19,10,12, 1.19 , 4.73 ,15
25-Jun-17,15:20,Richmond,Carlton,MCG,84,58,,11,18,8,10, 1.41 , 2.86 ,15
25-Jun-17,13:10,Geelong,Fremantle,Simonds Stadium,74,72,,10,14,11,6, 1.04 , 10.14 ,15
24-Jun-17,17:40,West Coast,Melbourne,Domain Stadium,96,99,,14,12,15,9, 1.75 , 2.08 ,15
24-Jun-17,19:25,Western Bulldogs,North Melbourne,Etihad Stadium,107,106,,15,17,16,10, 1.59 , 2.34 ,15
24-Jun-17,16:35,Brisbane,GWS Giants,Gabba,86,146,,12,14,22,14, 4.18 , 1.23 ,15
24-Jun-17,13:45,Collingwood,Port Adelaide,MCG,62,93,,9,8,13,15, 1.95 , 1.83 ,15
23-Jun-17,19:50,Sydney,Essendon,SCG,86,85,,11,20,12,13, 1.37 , 3.07 ,15
22-Jun-17,19:50,Adelaide,Hawthorn,Adelaide Oval,82,96,,12,10,14,12, 1.08 , 7.48 ,15
18-Jun-17,15:20,Western Bulldogs,Melbourne,Etihad Stadium,56,113,,8,8,17,11, 1.63 , 2.25 ,15
17-Jun-17,19:25,Gold Coast,Carlton,Metricon Stadium,73,83,,11,7,12,11, 1.35 , 3.15 ,15
17-Jun-17,16:05,Port Adelaide,Brisbane,Adelaide Oval,121,81,,18,13,12,9, 1.04 , 10.99 ,15
17-Jun-17,13:45,Richmond,Sydney,MCG,71,80,,10,11,12,8, 1.95 , 1.84 ,15
16-Jun-17,19:50,North Melbourne,St Kilda,Etihad Stadium,72,89,,10,12,12,17, 1.99 , 1.81 ,14
15-Jun-17,18:10,West Coast,Geelong,Domain Stadium,83,70,,11,17,10,10, 2.20 , 1.67 ,15
12-Jun-17,15:20,Melbourne,Collingwood,MCG,104,100,,15,14,15,10, 1.57 , 2.39 ,15
11-Jun-17,15:20,Carlton,GWS Giants,Etihad Stadium,71,70,,10,11,9,16, 4.15 , 1.23 ,15
10-Jun-17,19:25,Essendon,Port Adelaide,Etihad Stadium,131,61,,19,17,8,13, 3.37 , 1.32 ,15
